A,B,mean_A,mean_B,diff,se,T,df,pval,hedges
Normal,GFC 2008-09,6.439790635634028,6.8982749,-0.45848426436597123,0.29614727927400936,-1.548163013652947,115.1352557706634,0.4124069392448648,-0.15192304426367975
Normal,COVID-19 2020,6.439790635634028,6.126791225,0.3129994106340286,0.55765859029573,0.5612742564730205,43.121288667834804,0.9429424810753501,0.10067871425803215
Normal,Recovery 2021-22,6.439790635634028,5.460564684684685,0.9792259509493437,0.3554282970882992,2.7550590624642197,94.22645999903058,0.0349208664546784,0.3195357378160147
GFC 2008-09,COVID-19 2020,6.8982749,6.126791225,0.7714836749999998,0.6067690420059944,1.2714618274680833,58.709014897800934,0.5845245554783385,0.27465833371685894
GFC 2008-09,Recovery 2021-22,6.8982749,5.460564684684685,1.437710215315315,0.4283863225843463,3.3561067184451012,143.04886563207134,0.005531918862004215,0.5422869139307213
COVID-19 2020,Recovery 2021-22,6.126791225,5.460564684684685,0.6662265403153151,0.6378046203082589,1.0445621105618828,68.62553182646124,0.7239551409061324,0.21497138965131546
