model,n,r_squared,adj_r_squared,f_p_value,covariance,residual_shapiro_statistic,residual_shapiro_p_value,breusch_pagan_lm,breusch_pagan_p_value,breusch_pagan_f,breusch_pagan_f_p_value,durbin_watson
Simple: unemp ~ ipi_yoy,80,0.045366796130426934,0.03312790890132988,0.3242184668109668,HAC/Newey-West,0.9595934798080931,0.08547352236533227,7.050368120431472e-06,0.9978814171718683,6.874109527060119e-06,0.9979147609468325,0.11341918889052902
Full: unemp ~ cpi_yoy + ipi_yoy + cci + gdp_growth + trend,80,0.5100272554543634,0.47692098893100965,2.5062902533752027e-06,HAC/Newey-West,0.9789979487093093,0.5105168648210625,11.745303673989405,0.03844938040095759,2.5467917041892916,0.03502244066792749,0.4847156993587945
