variable,count,mean,std,min,25%,50%,75%,max
unemp,733.0,5.926155061846295,2.8226751381561446,2.3000000000000003,3.6666666666666665,4.933333333333334,7.900000000000001,18.4
cpi,733.0,102.11072296498409,15.454691643225521,66.76956,92.81553,99.94998,106.75333333333332,158.26893333333336
ipi,733.0,101.17120024101862,14.021908731967867,54.76966,95.76070666666668,100.43007666666666,106.0,159.32993333333334
cci,733.0,11.569072514779448,33.93884257299108,-39.0,-12.3,-2.966666666666667,38.09733333333333,106.4467
gdp_growth,733.0,1.7370753888690316,3.520060919159234,-21.671077788,0.660417309,1.944263557,3.130030641,25.47821792
