variable,count,mean,std,min,25%,50%,75%,max
unemp,84.0,10.346825396825395,1.6128924938517761,8.233333333333333,9.108333333333333,10.0,11.241666666666667,14.033333333333331
cpi,84.0,226.7937792063492,304.79842781036723,43.97925333333333,67.94839916666666,99.99168499999999,183.75034166666666,1336.7256666666667
ipi,84.0,99.83715515873016,31.060828639441397,54.21809666666667,69.01823333333333,97.27097499999999,123.75721666666666,150.60583333333332
cci,84.0,86.50868988095237,8.537581133601371,66.1,80.29166666666666,88.03333333333333,92.7836725,106.781
gdp_growth,84.0,5.162111872809523,4.71089240198386,-12.853293036,3.2364878595,5.709273304,7.626689224,22.21028269
