period,count,mean,std
Normal,623,6.439790635634028,3.0832200879467266
GFC 2008-09,80,6.8982749,2.4073950903634356
COVID-19 2020,40,6.126791225,3.439327151191334
Recovery 2021-22,74,5.460564684684685,2.8669170680192515
