period,unemp,cpi,ipi,cci,gdp_growth
Normal,6.439790635634028,116.1086043552702,101.08449954521134,20.78104359550562,2.5432813859967895
GFC 2008-09,6.8982749,86.76379883333333,89.60659658333333,14.270506791666667,-1.3140427050125
COVID-19 2020,6.126791225,115.00323333333333,100.88646516666667,15.672174083333335,-4.715584417524999
Recovery 2021-22,5.460564684684685,135.41815720720723,113.04298999999999,13.94246536036036,5.624001986256757
