model,term,coef,std_err,p_value,ci_low,ci_high
simple,const,10.593653838603988,0.43270279808056067,2.2682030601556255e-132,9.745571938356381,11.441735738851595
simple,ipi_yoy,-0.039557573717124095,0.039872730171576345,0.3211507269081959,-0.11770668881869731,0.03859154138444912
full,const,21.590424664501725,3.4347959730777995,3.2617933318825545e-10,14.858348263026029,28.32250106597742
full,cpi_yoy,-0.06468274519538418,0.015677490384140406,3.693913637546048e-05,-0.09541006171627239,-0.03395542867449597
full,ipi_yoy,0.07361687611293619,0.04815745046936417,0.12634613755650217,-0.020769992394289102,0.1680037446201615
full,cci,-0.12311386394201806,0.035651471655576285,0.0005538512734041035,-0.19298946438279815,-0.053238263501237976
full,gdp_growth,-0.18296648747099437,0.0807361190468283,0.02343740145256712,-0.3412063730543161,-0.024726601887672617
full,trend,0.025366914512095662,0.015449916385039463,0.10061479765667042,-0.004914365166736951,0.05564819419092827
